json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/564.json,儒鴻企業股份有限公司,儒鴻企業高價值紡織製造服務(VTMS)全球運籌電子化深化計畫,,"93年7月1日 至 95年12月31日","54,000 仟元","19,600 仟元","34,400 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=564
outputs/565.json,力麗企業股份有限公司,力麗企業全球供應鏈後勤指揮中心,,"93年7月1日 至 95年12月31日","55,545 仟元","17,600 仟元","37,945 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=565
outputs/566.json,綠點高新科技股份有限公司,手機機構件協同開發示範計畫,,"93年9月1日 至 95年8月31日","69,163 仟元","21,440 仟元","47,723 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=566
outputs/567.json,宏碁股份有限公司,EPC供應鏈資料交換網路服務平台,,"93年10月1日 至 95年3月31日","46,000 仟元","15,000 仟元","31,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=567
outputs/568.json,探微科技股份有限公司,微機電協同發展服務平台(規劃案),,"94年1月1日 至 94年6月30日","9,560 仟元","4,000 仟元","5,560 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=568
outputs/569.json,飛康國際網路科技股份有限公司,資訊生命週期管理解決方案,,"93年11月1日 至 95年8月31日","68,221 仟元","16,000 仟元","52,221 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=569
outputs/570.json,榮剛材料科技股份有限公司,模材與模具產業整合製造服務計畫,,"93年10月1日 至 95年9月30日","45,000 仟元","15,000 仟元","30,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=570
outputs/571.json,復盛股份有限公司,全球高爾夫球具創新與設計中心,,"94年4月1日 至 96年9月30日","44,685 仟元","14,040 仟元","30,645 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=571
outputs/572.json,羽冠電腦科技股份有限公司,FPD產業先進整合製造及RFID應用可行性先導計畫,,"94年4月1日 至 94年12月31日","7,170 仟元","2,800 仟元","4,370 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=572
outputs/573.json,三龍產業股份有限公司,汽車系統組件主動式協同設計服務,,"94年1月1日 至 95年12月31日","42,900 仟元","13,000 仟元","29,900 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=573
outputs/574.json,中興保全股份有限公司,行動保全緊急支援系統計畫(規劃案),,"93年11月15日 至 94年3月15日","4,415 仟元","1,770 仟元","2,645 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=574
outputs/575.json,凌羣電腦股份有限公司,i4M多國多商品交易平台,,"94年4月1日 至 96年3月31日","55,276 仟元","19,347 仟元","35,929 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=575
outputs/576.json,恩德科技股份有限公司,恩德科技全球數位神經網絡整合建置計畫,,"94年4月1日 至 96年7月31日","42,000 仟元","14,280 仟元","27,720 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=576
outputs/577.json,明安國際企業股份有限公司,"明安國際企業i – Design高爾夫球具協同設計開發專案",,"94年4月1日 至 96年3月31日","44,978 仟元","14,400 仟元","30,578 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=577
outputs/578.json,農學股份有限公司,農學體系協同商務整合計畫,,"94年4月1日 至 96年3月31日","51,271 仟元","16,000 仟元","35,271 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=578
outputs/579.json,全台晶像股份有限公司,中小尺寸平面顯示器協同技術服務體系計畫,,"94年6月1日 至 96年5月31日","51,832 仟元","15,000 仟元","36,832 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=579
outputs/580.json,華城電機股份有限公司,華城電機設計鏈協同設計計畫,,"94年5月1日 至 96年4月30日","51,062 仟元","17,000 仟元","34,062 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=580
outputs/581.json,精誠資訊股份有限公司,巴賽爾核心多維度STP創新平臺,,"94年4月1日 至 96年3月31日","59,120 仟元","21,283 仟元","37,837 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=581
outputs/582.json,宏遠電訊股份有限公司,顧客價值提升協同營運服務計畫,,"94年6月1日 至 96年5月31日","49,817 仟元","10,000 仟元","39,817 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=582
outputs/583.json,中菲電腦股份有限公司,"建構個人財富管理信託產品發展計畫– Ideal Trust®",,"94年4月1日 至 96年3月31日","38,702 仟元","13,159 仟元","25,543 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=583
outputs/584.json,財團法人恩主公醫院,恩主公醫院RFID計畫,,"94年9月1日 至 95年11月30日","30,500 仟元","12,000 仟元","18,500 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=584
